Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Glen and Smith,Chrome 72.0.3626.121,,2019-03-11 15:09:34,2019-03-11 15:09:52,17.706s,PASSED
,,,,,,
Test Cases/Glen01Login,Chrome 72.0.3626.121,,2019-03-11 15:09:34,2019-03-11 15:09:45,10.504s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-11 15:09:34,2019-03-11 15:09:39,4.851s,PASSED
deleteAllCookies(),Chrome 72.0.3626.121,,2019-03-11 15:09:39,2019-03-11 15:09:39,0.026s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-11 15:09:39,2019-03-11 15:09:40,1.132s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Chrome 72.0.3626.121,,2019-03-11 15:09:40,2019-03-11 15:09:42,1.314s,PASSED
waitForPageLoad(0),Chrome 72.0.3626.121,,2019-03-11 15:09:42,2019-03-11 15:09:42,0.059s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Username Field""), ""glentest1gms"")",Chrome 72.0.3626.121,,2019-03-11 15:09:42,2019-03-11 15:09:42,0.099s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Password Field""), ""12345678"")",Chrome 72.0.3626.121,,2019-03-11 15:09:42,2019-03-11 15:09:42,0.067s,PASSED
"click(findTestObject(""Enspire/Login Page/Login Button""))",Chrome 72.0.3626.121,,2019-03-11 15:09:42,2019-03-11 15:09:43,0.977s,PASSED
waitForPageLoad(0),Chrome 72.0.3626.121,,2019-03-11 15:09:43,2019-03-11 15:09:43,0.010s,PASSED
"takeScreenshot(""C:\Users\patrick.murphy\Katalon Studio\KatalonDemo\Screenshots\GlenSuccess1.jpg"")",Chrome 72.0.3626.121,,2019-03-11 15:09:43,2019-03-11 15:09:44,0.987s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-11 15:09:44,2019-03-11 15:09:45,0.661s,PASSED
,,,,,,
Test Cases/Smith Failed Login,Chrome 72.0.3626.121,,2019-03-11 15:09:45,2019-03-11 15:09:52,6.963s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-11 15:09:45,2019-03-11 15:09:48,2.872s,PASSED
deleteAllCookies(),Chrome 72.0.3626.121,,2019-03-11 15:09:48,2019-03-11 15:09:48,0.011s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-11 15:09:48,2019-03-11 15:09:49,1.130s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Chrome 72.0.3626.121,,2019-03-11 15:09:49,2019-03-11 15:09:50,1.103s,PASSED
waitForPageLoad(0),Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.012s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Username Field""), ""Smith"")",Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.079s,PASSED
"sendKeys(findTestObject(""Enspire/Login Page/Password Field""), ""Smith"")",Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.061s,PASSED
"click(findTestObject(""Enspire/Login Page/Login Button""))",Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.296s,PASSED
waitForPageLoad(0),Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.018s,PASSED
"verifyElementPresent(findTestObject(""Enspire/Login Page/Enspire Image""), 0)",Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:50,0.043s,PASSED
"takeScreenshot(""C:\Users\patrick.murphy\Katalon Studio\KatalonDemo\Screenshots\Smith Fail1.jpg"")",Chrome 72.0.3626.121,,2019-03-11 15:09:50,2019-03-11 15:09:51,0.525s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-11 15:09:51,2019-03-11 15:09:52,0.652s,PASSED
