Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScreenCrawlHappyPath,Chrome 73.0.3683.103,"Just the avalible screens, no buttons or functionality, just verifying that the screen is there.",2019-04-24 10:54:26,2019-04-24 10:59:33,5m - 7.202s,PASSED
,,,,,,
Test Cases/ScreenCrawl/ScreenCrawlAccountingDropdown,Chrome 73.0.3683.103,"~30s
Functions on Chrome and IE. FF has issues finding some elements. ",2019-04-24 10:54:26,2019-04-24 10:55:16,49.706s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-24 10:54:27,2019-04-24 10:54:40,12.589s,PASSED
deleteAllCookies(),Chrome 73.0.3683.103,,2019-04-24 10:54:40,2019-04-24 10:54:40,0.034s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-24 10:54:40,2019-04-24 10:54:41,1.163s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Chrome 73.0.3683.103,,2019-04-24 10:54:41,2019-04-24 10:54:46,5.590s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:54:46,2019-04-24 10:54:47,0.457s,PASSED
"sendKeys(findTestObject(""Login Page/Username Field""), ScreenCrawlUser)",Chrome 73.0.3683.103,,2019-04-24 10:54:47,2019-04-24 10:54:48,1.110s,PASSED
"sendKeys(findTestObject(""Login Page/Password Field""), ScreenCrawlPass)",Chrome 73.0.3683.103,,2019-04-24 10:54:48,2019-04-24 10:54:48,0.108s,PASSED
"click(findTestObject(""Login Page/Login Button""))",Chrome 73.0.3683.103,,2019-04-24 10:54:48,2019-04-24 10:54:50,1.560s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:54:50,2019-04-24 10:54:50,0.023s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-24 10:54:50,2019-04-24 10:54:50,0.042s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-24 10:54:50,2019-04-24 10:54:50,0.087s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Search Option""))",Chrome 73.0.3683.103,,2019-04-24 10:54:50,2019-04-24 10:54:58,7.825s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.018s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Incoming Invoice Search Section""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.057s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Asset Search Section""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.046s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Outgoing Invoiced Search Section""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.036s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Car Search Section""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.044s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.150s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.014s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.038s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:58,0.054s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Approve AP Option""))",Chrome 73.0.3683.103,,2019-04-24 10:54:58,2019-04-24 10:54:59,0.776s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:54:59,2019-04-24 10:54:59,0.012s,PASSED
"waitForElementVisible(findTestObject(""Approve AP/Invoices Grid""), 0)",Chrome 73.0.3683.103,,2019-04-24 10:54:59,2019-04-24 10:55:03,3.668s,PASSED
"verifyElementVisible(findTestObject(""Approve AP/Legend Img""))",Chrome 73.0.3683.103,,2019-04-24 10:55:03,2019-04-24 10:55:03,0.069s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-24 10:55:03,2019-04-24 10:55:03,0.087s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-24 10:55:03,2019-04-24 10:55:03,0.061s,PASSED
