Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ScreenCrawlHappyPath,Chrome 73.0.3683.103,"Just the avalible screens, no buttons or functionality, just verifying that the screen is there.",2019-04-12 09:59:19,2019-04-12 10:03:56,4m - 37.691s,FAILED
,,,,,,
Test Cases/ScreenCrawl/ScreenCrawlAccountingDropdown,Chrome 73.0.3683.103,"~30s
Functions on Chrome and IE. FF has issues finding some elements. ",2019-04-12 09:59:19,2019-04-12 09:59:55,36.113s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-12 09:59:20,2019-04-12 09:59:26,6.720s,PASSED
deleteAllCookies(),Chrome 73.0.3683.103,,2019-04-12 09:59:26,2019-04-12 09:59:26,0.034s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-12 09:59:26,2019-04-12 09:59:28,1.155s,PASSED
"navigateToUrl(""http://enspire-qa.gbrx.com/"")",Chrome 73.0.3683.103,,2019-04-12 09:59:28,2019-04-12 09:59:29,1.298s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:29,2019-04-12 09:59:29,0.087s,PASSED
"sendKeys(findTestObject(""Login Page/Username Field""), ScreenCrawlUser)",Chrome 73.0.3683.103,,2019-04-12 09:59:29,2019-04-12 09:59:29,0.358s,PASSED
"sendKeys(findTestObject(""Login Page/Password Field""), ScreenCrawlPass)",Chrome 73.0.3683.103,,2019-04-12 09:59:29,2019-04-12 09:59:29,0.084s,PASSED
"click(findTestObject(""Login Page/Login Button""))",Chrome 73.0.3683.103,,2019-04-12 09:59:29,2019-04-12 09:59:30,1.003s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:30,2019-04-12 09:59:30,0.015s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:30,2019-04-12 09:59:30,0.065s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:30,2019-04-12 09:59:31,0.075s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Search Option""))",Chrome 73.0.3683.103,,2019-04-12 09:59:31,2019-04-12 09:59:38,7.122s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.016s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Incoming Invoice Search Section""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.066s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Asset Search Section""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.044s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Outgoing Invoiced Search Section""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.042s,PASSED
"verifyElementVisible(findTestObject(""Accounting Search/Car Search Section""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.040s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.148s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.071s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.045s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:38,0.059s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Approve AP Option""))",Chrome 73.0.3683.103,,2019-04-12 09:59:38,2019-04-12 09:59:39,0.802s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:39,2019-04-12 09:59:39,0.017s,PASSED
"waitForElementVisible(findTestObject(""Approve AP/Invoices Grid""), 0)",Chrome 73.0.3683.103,,2019-04-12 09:59:39,2019-04-12 09:59:42,2.606s,PASSED
"verifyElementVisible(findTestObject(""Approve AP/Legend Img""))",Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:42,0.045s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:42,0.124s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:42,0.087s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:42,0.033s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:42,0.055s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/On Hold Option""))",Chrome 73.0.3683.103,,2019-04-12 09:59:42,2019-04-12 09:59:44,1.895s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.014s,PASSED
"verifyElementVisible(findTestObject(""On Hold/Invoices On Hold Header""))",Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.041s,PASSED
"verifyElementVisible(findTestObject(""On Hold/Un-Hold""))",Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.143s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.220s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.077s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.041s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:44,0.052s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Approve AR Option""))",Chrome 73.0.3683.103,,2019-04-12 09:59:44,2019-04-12 09:59:45,0.550s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.014s,PASSED
"waitForElementVisible(findTestObject(""Approve AR/AR Approvable Table""), 0)",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.046s,PASSED
"waitForElementVisible(findTestObject(""Approve AR/Invoice Response AR Approvable Table""), 0)",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.033s,PASSED
"verifyElementVisible(findTestObject(""Approve AR/CBA AR Approvable""))",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.032s,PASSED
"verifyElementVisible(findTestObject(""Approve AR/Legend Img""))",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.031s,PASSED
back(),Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.157s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.012s,PASSED
"verifyElementVisible(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.029s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Accounting Dropdown""))",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:45,0.049s,PASSED
"click(findTestObject(""GBMS Home Page Dropdowns/Extra Charges Option""))",Chrome 73.0.3683.103,,2019-04-12 09:59:45,2019-04-12 09:59:46,0.563s,PASSED
"waitForElementVisible(findTestObject(""Extra Charges/Extra Charges Table""), 0)",Chrome 73.0.3683.103,,2019-04-12 09:59:46,2019-04-12 09:59:46,0.045s,PASSED
waitForPageLoad(0),Chrome 73.0.3683.103,,2019-04-12 09:59:46,2019-04-12 09:59:46,0.012s,PASSED
"verifyElementVisible(findTestObject(""Extra Charges/Extra Charges Header""))",Chrome 73.0.3683.103,,2019-04-12 09:59:46,2019-04-12 09:59:46,0.034s,PASSED
